epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,36467.5,0.14906,0.25286,0.77475,0.99366,0.99743,0.9938,0.98957,0.11302,0.09651,0.76462,0.000473919,0.000473919,0.000473919
54,37153.6,0.14805,0.25252,0.77443,0.99365,0.99746,0.99379,0.98948,0.11341,0.09649,0.7646,0.000458416,0.000458416,0.000458416
55,37839.4,0.14652,0.25018,0.77446,0.9936,0.99744,0.99379,0.9895,0.11295,0.09591,0.76455,0.00044296,0.00044296,0.00044296
56,38525,0.14719,0.2502,0.77468,0.99365,0.99744,0.9938,0.98949,0.11317,0.0959,0.76457,0.000427565,0.000427565,0.000427565
57,39209.7,0.14565,0.24872,0.77454,0.99361,0.99745,0.99381,0.98932,0.11467,0.09628,0.76466,0.000412246,0.000412246,0.000412246
58,39894.1,0.14653,0.24847,0.77424,0.99353,0.99746,0.9938,0.98923,0.11556,0.09648,0.76467,0.000397019,0.000397019,0.000397019
59,40578.9,0.14406,0.24569,0.7741,0.99353,0.99745,0.9938,0.98924,0.1154,0.09616,0.76465,0.000381899,0.000381899,0.000381899
60,41262.9,0.14689,0.24655,0.77475,0.99354,0.9975,0.99381,0.9895,0.11309,0.09496,0.76452,0.000366899,0.000366899,0.000366899
61,41947.4,0.14452,0.24529,0.77402,0.99351,0.9975,0.99381,0.98955,0.11275,0.0945,0.76448,0.000352037,0.000352037,0.000352037
62,42631.6,0.14429,0.2447,0.77433,0.99353,0.99751,0.99382,0.98965,0.11157,0.09376,0.76438,0.000337325,0.000337325,0.000337325
63,43316.6,0.14346,0.24281,0.7742,0.99353,0.99755,0.99382,0.98965,0.11096,0.09321,0.76435,0.000322778,0.000322778,0.000322778
64,44001.3,0.14221,0.24027,0.77402,0.99356,0.99757,0.99382,0.98961,0.1112,0.09302,0.76438,0.000308412,0.000308412,0.000308412
65,44686.3,0.14211,0.24145,0.7738,0.99354,0.99763,0.99382,0.98958,0.11117,0.09287,0.76432,0.000294239,0.000294239,0.000294239
66,45370.9,0.14335,0.24119,0.77401,0.99356,0.99759,0.99382,0.98964,0.11113,0.09276,0.76429,0.000280275,0.000280275,0.000280275
67,46056.5,0.1408,0.23812,0.77378,0.99354,0.9976,0.99382,0.98963,0.1111,0.09247,0.76429,0.000266532,0.000266532,0.000266532
68,46741.6,0.14019,0.23652,0.77375,0.9935,0.99767,0.99382,0.98965,0.11072,0.09211,0.76427,0.000253024,0.000253024,0.000253024
69,47427.3,0.14002,0.23712,0.77366,0.99354,0.99772,0.99382,0.98973,0.11041,0.09174,0.76429,0.000239766,0.000239766,0.000239766
70,48113,0.13946,0.23604,0.77349,0.99354,0.99771,0.99382,0.98972,0.11055,0.09176,0.7643,0.000226769,0.000226769,0.000226769
71,48798.8,0.1391,0.23495,0.77333,0.99357,0.99772,0.99381,0.98984,0.11023,0.09148,0.76426,0.000214046,0.000214046,0.000214046
72,682.752,0.13907,0.2351,0.77337,0.99362,0.99772,0.99381,0.98987,0.10998,0.09122,0.76425,0.000201611,0.000201611,0.000201611
73,1361.54,0.13899,0.23471,0.77344,0.99365,0.99769,0.99381,0.98985,0.11002,0.09109,0.76426,0.000189475,0.000189475,0.000189475
74,2040.31,0.13859,0.23413,0.77341,0.99365,0.99772,0.9938,0.98992,0.10963,0.09081,0.76423,0.000177651,0.000177651,0.000177651
75,2719.14,0.13812,0.23323,0.77342,0.99365,0.9977,0.9938,0.98993,0.10969,0.09068,0.76422,0.000166149,0.000166149,0.000166149
76,3399.15,0.13809,0.23397,0.77347,0.9937,0.9977,0.9938,0.98989,0.11006,0.09073,0.76424,0.000154982,0.000154982,0.000154982
77,4078.8,0.13794,0.23272,0.77371,0.99367,0.9977,0.99381,0.98992,0.11003,0.09056,0.76427,0.000144161,0.000144161,0.000144161
78,4758.24,0.13704,0.22976,0.77306,0.99369,0.99767,0.99381,0.98995,0.11005,0.09048,0.76427,0.000133695,0.000133695,0.000133695
79,5439.45,0.13726,0.23101,0.77323,0.99372,0.99765,0.9938,0.99,0.1097,0.09031,0.76427,0.000123596,0.000123596,0.000123596
80,6119.49,0.13683,0.2313,0.77355,0.99373,0.99763,0.99381,0.99002,0.11034,0.09065,0.76435,0.000113873,0.000113873,0.000113873
81,6799.33,0.13634,0.22908,0.77324,0.9937,0.99758,0.99381,0.98998,0.11092,0.09082,0.76435,0.000104537,0.000104537,0.000104537
82,7478.69,0.1361,0.22858,0.77328,0.99371,0.99758,0.99381,0.98993,0.11077,0.09068,0.76432,9.55951e-05,9.55951e-05,9.55951e-05
83,8158.42,0.13591,0.2281,0.77293,0.99368,0.99752,0.99382,0.98989,0.11197,0.09137,0.7644,8.70577e-05,8.70577e-05,8.70577e-05
84,8838.69,0.13547,0.22755,0.77297,0.99376,0.99755,0.99381,0.9899,0.11105,0.09076,0.76432,7.89327e-05,7.89327e-05,7.89327e-05
